youtubeId,movieId,title,trailer_present,video downloaded,Durations,FPS,Width,Height,Aspect Ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
F8Vwm6dBQI8,3117,Ride with the Devil (1999),1,0,120,23,1280,720,1.78,735,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,326,0,2,1,0,0,0,1,0,0,23,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,10,12,0,0,0,0
9KDdbH1Gdio,3121,"Hitch-Hiker, The (1953)",1,0,79,25,640,480,1.33,243,0,4,11,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
RDfF3xzFGkA,3122,Santa Fe Trail (1940),1,0,131,29,640,480,1.33,1062,0,1,0,1,0,27,0,0,0,0,0,0,0,0,0,1,199,0,17,7,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbco7efRBzE,3125,"End of the Affair, The (1999)",1,0,33,14,480,360,1.33,102,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26ytp0Z05jw,3128,"Map of the World, A (1999)",1,0,123,23,360,208,1.73,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,32,21,0,0,0,0,18,0,40,0,0,0,0,9,0,26,0,0,0,0,0
x1X7hfx9BT0,3129,Sweet and Lowdown (1999),1,0,118,14,320,234,1.37,450,0,11,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
runwp76j-dM,3130,Bonfire of the Vanities (1990),1,0,30,29,640,480,1.33,148,0,6,0,0,0,1,0,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
R7dHR69d3A0,3133,Go West (1925),1,0,71,23,480,360,1.33,430,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
hctrYzVYmfM,3134,Grand Illusion (La grande illusion) (1937),1,0,253,25,600,480,1.25,2339,0,0,2,0,0,7,0,0,0,0,0,1,0,0,0,0,25,0,2,0,0,0,0,0,1,2,27,0,1,0,0,0,0,0,0,0,0,0,19,11,36,4,4,7,35,0,0,0,0,0,0,0,0,0,0,21,0,0,0,27,0,0,0,0,0,0,14,0,0,0,0,0,4,3,0,1,0,0,0
pPFxoPyNywM,3138,Stealing Home (1988),1,0,188,29,1920,1080,1.78,1440,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
WWbiQAr8miI,3141,"Two Jakes, The (1990)",1,0,185,23,854,362,2.36,825,0,34,2,0,0,0,9,8,0,0,0,0,0,5,1,8,16,0,76,0,0,0,0,0,0,0,93,0,0,0,0,11,14,0,0,0,0,0,0,10,2,0,1,0,2,1,0,0,0,0,0,0,0,9,0,1,0,1,1,0,1,1,12,0,0,0,21,0,0,0,0,0,2,16,1,1,0,0,2
MSrDZO3Ho5I,3142,U2: Rattle and Hum (1988),1,0,143,23,640,360,1.78,1282,2,16,6,0,0,8,7,0,2,0,0,0,8,4,0,0,0,0,2,0,0,0,0,0,0,4,3,4,1,0,0,9,1,31,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0
GYUuHLCCgYs,3144,"Glass Bottom Boat, The (1966)",1,0,164,29,640,272,2.35,1346,0,9,0,10,0,0,3,107,0,0,0,0,17,4,1,2,0,0,1,0,0,0,0,1,0,0,72,1,1,0,1,0,1,0,2,0,0,0,85,0,5,0,0,1,48,0,0,0,11,0,0,0,0,0,1,76,44,36,0,1,0,14,2,0,1,0,11,35,29,0,0,33,0,5,26,0,0,3,0
89dGJ_hx8-k,3145,Cradle Will Rock (1999),1,0,508,25,426,180,2.37,5155,0,42,0,0,0,0,0,9,3,0,0,0,1,0,0,9,0,0,0,0,0,0,0,2,0,49,1207,0,0,0,0,2,0,0,0,0,1,0,6,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,40,0,0,0,2,0,26,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,3
wk_19DT6y9Y,3146,Deuce Bigalow: Male Gigolo (1999),1,0,144,30,1280,720,1.78,929,0,58,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,6,2,0,1,0,0,1,0,0,0,0,0,0,3,0,1,3,1,16,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,18,13,0,0,0,0,0,6,0,0,0,1,0,5,0,0,0,0,0,0,0,0
ctRK-4Vt7dA,3147,"Green Mile, The (1999)",1,0,139,29,1912,1080,1.77,908,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,1,0,7,0,3,2,1,103,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,38,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
pGdZBESUSfk,3148,"Cider House Rules, The (1999)",1,0,145,23,1280,720,1.78,1059,0,45,0,0,1,10,23,12,0,0,0,0,5,0,0,5,1,0,0,0,0,0,0,1,0,2,18,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,3,0,147,0,9,0,0,0,0,0,0,17,0,0,44,18,1,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,3,0,0
rjSvRNbWJsA,3150,"War Zone, The (1999)",1,0,135,25,636,480,1.32,562,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,7,0,3,0,16,2,0,0,0,0,1
2LrMutOPC-o,3152,"Last Picture Show, The (1971)",1,0,178,25,854,480,1.78,1616,0,18,0,0,21,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3,19,0,0,0,0,21,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,59,0,3,0,1,0,0,0,0,0,0,19,0,0,0,1,0,0,1,0,0,0,0,0
xHPoKOi1XcM,3155,Anna and the King (1999),1,0,86,15,320,178,1.8,388,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,2,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dkibUFXnzq4,3156,Bicentennial Man (1999),1,0,184,29,1280,720,1.78,1302,3,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,10,55,0,0,0,0,1,0,0,0,0,3,0,29,20,119,1,0,6,38,0,0,0,0,0,0,0,0,0,0,93,28,16,4,24,0,22,1,0,5,0,4,2,4,0,8,2,7,23,0,0,0,0,0
zPJ6DBYcFbE,3157,Stuart Little (1999),1,0,149,25,640,480,1.33,571,0,17,0,0,0,2,8,6,0,1,0,0,3,2,117,38,10,0,0,0,3,0,0,0,0,6,116,0,0,0,0,0,0,0,0,3,0,0,4,0,12,5,0,7,41,8,0,0,0,0,0,0,0,3,0,31,18,0,4,11,4,5,3,0,0,0,1,13,9,0,0,4,5,8,3,0,50,0,0
FDXEruar-Ko,3159,Fantasia 2000 (1999),1,0,130,23,1920,1080,1.78,3,0,0,0,4,0,0,1,0,0,0,0,0,0,1,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,32,3,0,0,0
KnamcFv_N9Q,3160,Magnolia (1999),1,0,165,23,1280,720,1.78,798,0,39,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,7,7,32,0,0,36,0,0,0,0,40,0,0,0,0,0,0,0,15,0,0,0,0
BWFcMRYjJtA,3163,Topsy-Turvy (1999),1,0,163,23,1920,1080,1.78,2286,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,48,2,57,0,0,0,0,0,0,7,2,0,0,0,6,0,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,57,12,42,0,0,0,4,20,0,1,0,4,0,0,0,0,0,73,21,94,0,2,0,0
aGT6M00yCxM,3165,Boiling Point (1993),1,0,84,25,320,240,1.33,264,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,80,0,0,3,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,5,0,9,0,0,0,3
v4WG4KRvEvs,3166,Brenda Starr (1989),1,0,88,23,720,480,1.5,646,0,29,1,1,0,0,5,0,0,0,0,0,0,0,0,2,53,0,0,0,0,0,0,0,0,0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,0,11,7,5,1,8,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
