youtubeId,movieId,title,trailer_present,video downloaded,Durations,FPS,Width,Height,Aspect Ratio
XdxS8VAdwZ0,5693,Saturday Night Fever (1977),1,0,31,29,320,240,1.33
EQ8ruUgGcs0,5694,Staying Alive (1983),1,0,29,29,482,360,1.34
GySggLbBcI0,5696,Urban Cowboy (1980),1,0,29,29,640,480,1.33
JEup61jsTq8,5699,Tom Horn (1980),1,0,95,29,1280,720,1.78
D7s_2hNcQKE,5703,Wholly Moses (1980),1,0,144,23,412,240,1.72
qdK5W-S0sW4,5705,Xanadu (1980),1,0,137,25,1920,1080,1.78
NfrKfRu1tFQ,5707,Absence of Malice (1981),1,0,165,23,1920,1080,1.78
pE3gD4ihsWA,5710,Banana Joe (1981),1,0,199,25,320,240,1.33
rDve1A5EAvk,5712,Blow Out (1981),1,0,125,23,1920,1080,1.78
2bQZnlxd1EI,5723,Continental Divide (1981),1,0,30,29,640,480,1.33
RoT06gMLaeg,5734,Faces of Death 2 (1981),1,0,171,25,720,480,1.5
a3B7rLDIGCU,5742,First Monday in October (1981),1,0,177,23,706,480,1.47
ECa1j56U1ns,5745,"Four Seasons, The (1981)",1,0,38,23,720,480,1.5
CT1JHKpSHXA,5747,Gallipoli (1981),1,0,111,23,640,314,2.04
ikFeznmXScY,5752,Gregory's Girl (1981),1,0,1845,23,1920,1080,1.78
z5KN9m6MOw8,5765,"Looney, Looney, Looney Bugs Bunny Movie, The (1981)",1,0,60,29,640,480,1.33
YeK3jIoPuhY,5768,Modern Problems (1981),1,0,130,14,480,360,1.33
xC_WucXQHIs,5772,My Dinner with André (1981),1,0,209,23,1920,1080,1.78
Xvd7WTfzCWA,5777,Pennies from Heaven (1981),1,0,30,29,320,240,1.33
SZak1MCZL2w,5778,Pieces (Mil gritos tiene la noche) (One Thousand Cries Has the Night) (1982),1,0,36,29,320,240,1.33
BKz3MLLo2HA,5784,Ghost Ship (2002),1,0,135,23,640,480,1.33
mkLF6Xh21G8,5787,"Truth About Charlie, The (2002)",1,0,146,23,854,470,1.82
qz6RreTMEyA,5788,All or Nothing (2002),1,0,135,23,360,240,1.5
uOUzQYqba4Y,5791,Frida (2002),1,0,121,23,1280,720,1.78
cpoXKczjOgQ,5792,Roger Dodger (2002),1,0,176,23,1280,720,1.78
sozAQFMi4zM,5796,Casino Royale (1967),1,0,154,24,1184,720,1.64
6gmBfWDW9tU,5799,Exodus (1960),1,0,166,29,320,240,1.33
kIIzCNt4Uds,5801,"Russians Are Coming, the Russians Are Coming, The (1966)",1,0,280,29,1920,1080,1.78
8ePVWDcEWo0,5803,I Spy (2002),1,0,136,25,854,480,1.78
