youtubeId,movieId,title,trailer_present,video downloaded,Durations,FPS,Width,Height,Aspect Ratio
K26_sDKnvMU,1,Toy Story (1995),1,0,90,29,636,480,1.32
3LPANjHlPxo,2,Jumanji (1995),1,0,167,23,1280,720,1.78
rEnOoWs3FuA,3,Grumpier Old Men (1995),1,0,111,29,640,360,1.78
j9xml1CxgXI,4,Waiting to Exhale (1995),1,0,159,23,640,480,1.33
2GfZl4kuVNI,6,Heat (1995),1,0,147,24,1920,1080,1.78
twTksx_lWB4,7,Sabrina (1995),1,0,169,23,640,360,1.78
-C-xXZyX2zU,8,Tom and Huck (1995),1,0,59,30,320,240,1.33
lcOqUE0u1LM,10,GoldenEye (1995),1,0,171,23,1920,1080,1.78
UrC75wUKoFM,11,"American President, The (1995)",1,0,169,29,640,356,1.8
tVdn8JH91Dg,12,Dracula: Dead and Loving It (1995),1,0,119,29,854,480,1.78
dO2LWKpeyI8,14,Nixon (1995),1,0,272,29,640,480,1.33
EJXDMwGWhoA,16,Casino (1995),1,0,182,23,1280,720,1.78
DfqPjRMsRP0,19,Ace Ventura: When Nature Calls (1995),1,0,118,29,720,480,1.5
yNLaTtpovys,21,Get Shorty (1995),1,0,154,23,1920,1024,1.88
lsmXhM4yfU0,22,Copycat (1995),1,0,119,23,640,356,1.8
OOTTvrb4JZI,23,Assassins (1995),1,0,161,29,1280,720,1.78
gHl-UHu2-lM,24,Powder (1995),1,0,242,23,640,350,1.83
UMlYWZgCIgo,25,Leaving Las Vegas (1995),1,0,120,29,720,480,1.5
RQLVzTtt2Ws,27,Now and Then (1995),1,0,161,23,1920,1080,1.78
lYSHAyODiGs,28,Persuasion (1995),1,0,82,23,702,480,1.46
toH1vzAmDBI,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,0,74,25,424,240,1.77
mQf3Ngg2cks,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1,0,133,23,546,360,1.52
gA-5nLQCmW8,31,Dangerous Minds (1995),1,0,116,25,854,470,1.82
15s4Y9ffW_o,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1,0,170,23,1280,720,1.78
tVxeoUtVF0o,34,Babe (1995),1,0,127,24,426,230,1.85
ccq3f9-lQyM,35,Carrington (1995),1,0,151,23,566,360,1.57
qpQ-CnutDy0,37,Across the Sea of Time (1995),1,0,221,12,322,240,1.34
6PKq7YSpO6c,38,It Takes Two (1995),1,0,115,23,706,480,1.47
XuHEa7pWAQY,39,Clueless (1995),1,0,106,29,854,480,1.78
OXc0-EME0C8,41,Richard III (1995),1,0,179,24,608,360,1.69
CvsAuHYBgEQ,43,Restoration (1995),1,0,131,23,1920,1080,1.78
JHIfHL5UgFs,44,Mortal Kombat (1995),1,0,107,29,1280,720,1.78
Y1uPXA1ceNo,45,To Die For (1995),1,0,143,29,720,480,1.5
K5_2VgJUSBA,46,How to Make an American Quilt (1995),1,0,145,23,702,480,1.46
SpKbZ_3zlb0,47,Seven (a.k.a. Se7en) (1995),1,0,143,24,1920,1080,1.78
DSf_pVG8QZM,48,Pocahontas (1995),1,0,118,29,636,480,1.32
J5mszOh_Qis,49,When Night Is Falling (1995),1,0,124,24,720,480,1.5
oiXdPolca5w,50,"Usual Suspects, The (1995)",1,0,144,23,1280,716,1.79
K4MltltKq4k,54,"Big Green, The (1995)",1,0,136,25,320,240,1.33
jG9pUsmjAO8,55,Georgia (1995),1,0,96,23,640,480,1.33
ThH8WocPRM0,57,Home for the Holidays (1995),1,0,182,23,712,480,1.48
0or7hSz-7gc,58,"Postman, The (Postino, Il) (1994)",1,0,113,29,640,360,1.78
yoIBXVm_B9Y,60,"Indian in the Cupboard, The (1995)",1,0,121,23,688,480,1.43
jY56N6irNCk,61,Eye for an Eye (1996),1,0,55,12,320,240,1.33
JYoWGIrXiz0,62,Mr. Holland's Opus (1995),1,0,63,29,320,240,1.33
JAAhQwcJ20U,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1,0,91,23,1280,720,1.78
Psql1jhaIiA,64,Two if by Sea (1996),1,0,116,29,640,480,1.33
MubmJ2jwvOM,66,Lawnmower Man 2: Beyond Cyberspace (1996),1,0,106,23,640,350,1.83
9gQuxMD5jzU,70,From Dusk Till Dawn (1996),1,0,119,23,1920,1080,1.78
YC3npzqwXcs,71,Fair Game (1995),1,0,112,23,702,480,1.46
hck5I4F1OgU,73,"Misérables, Les (1995)",1,0,105,23,702,480,1.46
GJ6-ymSjShg,74,Bed of Roses (1996),1,0,124,15,320,240,1.33
1AeAvE3FxQ8,76,Screamers (1995),1,0,116,23,640,480,1.33
xjPZbigB4NA,77,Nico Icon (1995),1,0,4052,29,488,360,1.36
kDdwRURSEzI,78,"Crossing Guard, The (1995)",1,0,114,23,1920,1080,1.78
Awng-jZnkoY,79,"Juror, The (1996)",1,0,128,15,320,240,1.33
jL4l_tyPC0Y,80,"White Balloon, The (Badkonake sefid) (1995)",1,0,103,23,640,320,2.0
i1o_PO3ridY,81,Things to Do in Denver When You're Dead (1995),1,0,114,29,640,480,1.33
qiAyu1qKkfE,82,Antonia's Line (Antonia) (1995),1,0,97,23,688,480,1.43
UwkAOHd8WRU,83,Once Upon a Time... When We Were Colored (1995),1,0,135,23,702,480,1.46
FmYKCjilWAs,84,Last Summer in the Hamptons (1995),1,0,196,23,1280,720,1.78
bdqnz-FtIog,85,Angels and Insects (1995),1,0,159,23,706,480,1.47
FjPueQfeQLs,87,Dunston Checks In (1996),1,0,62,23,704,480,1.47
BRgCb1QjOv4,88,Black Sheep (1996),1,0,146,29,720,480,1.5
o6trRzB8fiA,89,Nick of Time (1995),1,0,141,23,640,480,1.33
qgHHBYzgL-s,92,Mary Reilly (1996),1,0,134,29,480,360,1.33
0AvkCamSj5o,94,Beautiful Girls (1996),1,0,123,23,640,480,1.33
vBS92ui_h74,96,In the Bleak Midwinter (1995),1,0,92,14,480,360,1.33
M2Wl4li8TFo,97,"Hate (Haine, La) (1995)",1,0,90,23,1920,1080,1.78
oA7M9qSJKrE,99,Heidi Fleiss: Hollywood Madam (1995),1,0,67,25,636,480,1.32
hspUSez-rYY,101,Bottle Rocket (1996),1,0,163,30,640,360,1.78
ppsp24yW7ac,103,Unforgettable (1996),1,0,130,23,702,480,1.46
y1emDAYCfVQ,104,Happy Gilmore (1996),1,0,135,23,640,354,1.81
Up-oN4NtvbM,105,"Bridges of Madison County, The (1995)",1,0,81,23,1280,720,1.78
KLUdKoCganU,107,Muppet Treasure Island (1996),1,0,116,25,656,480,1.37
foBVdhrrOJ8,108,Catwalk (1996),1,0,596,29,640,480,1.33
1cnoM8EiGGU,110,Braveheart (1995),1,0,132,25,642,480,1.34
cujiHDeqnHY,111,Taxi Driver (1976),1,0,200,23,1280,720,1.78
q7vg8uGzLts,112,Rumble in the Bronx (Hont faan kui) (1995),1,0,61,29,1280,720,1.78
KRrUiYxr5dc,113,Before and After (1996),1,0,148,29,480,360,1.33
S82xxKIURF4,114,Margaret's Museum (1995),1,0,118,29,320,240,1.33
HFMnh-n7U7w,116,Anne Frank Remembered (1995),1,0,64,29,480,360,1.33
Xw6F07ChJzQ,117,"Young Poisoner's Handbook, The (1995)",1,0,96,25,640,480,1.33
TNTV9Txit-Q,118,If Lucy Fell (1996),1,0,111,23,546,360,1.52
9uBpp-qIIp8,119,"Steal Big, Steal Little (1995)",1,0,108,29,480,360,1.33
Sr60MOJ_fhc,122,Boomerang (1992),1,0,182,23,578,360,1.61
ZkyRcGGeq8E,123,Chungking Express (Chung Hing sam lam) (1994),1,0,89,29,360,240,1.5
b0nE4KWZ4Io,125,Flirting With Disaster (1996),1,0,122,23,1920,1080,1.78
hgs5CgnBJFs,126,"NeverEnding Story III, The (1994)",1,0,74,25,640,480,1.33
_d7KNUnJF4o,129,Pie in the Sky (1996),1,0,78,23,720,480,1.5
cooYPruKl78,130,Angela (1995),1,0,298,29,320,240,1.33
2vrYABGERJw,131,Frankie Starlight (1995),1,0,131,23,546,360,1.52
83kTQ6chG4o,141,"Birdcage, The (1996)",1,0,106,29,720,480,1.5
QEFxzbRLOmg,144,"Brothers McMullen, The (1995)",1,0,115,23,620,360,1.72
ZYxO2ODedhA,145,Bad Boys (1995),1,0,173,23,1280,720,1.78
Uwnm9QAwhzE,146,"Amazing Panda Adventure, The (1995)",1,0,90,14,480,360,1.33
W5eVnwe6Pxs,147,"Basketball Diaries, The (1995)",1,0,31,23,546,360,1.52
